,title,genre,year,decade,runtime,rating,director,actor1,actor2,actor3,gross
2496,On Golden Pond,Drama,1981,1980,109,7.7,Mark Rydell,Henry Fonda,Katharine Hepburn,Jane Fonda,
2497,On Her Majesty's Secret Service,"Action,Adventure,Thriller",1969,1920-1960,142,6.8,Peter R. Hunt,Telly Savalas,George Lazenby,Desmond Llewelyn,22.8
2498,On the Line,"Comedy,Family,Romance",2001,2000,85,4.1,Eric Bross,Jerry Stiller,Tamala Jones,Dave Foley,4.36
2499,On the Road,"Adventure,Drama",2012,2010,137,6.1,Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,0.72
2500,On the Waterfront,"Crime,Drama,Romance",1954,1920-1960,108,8.2,Elia Kazan,Marlon Brando,Karl Malden,Rod Steiger,9.6
2501,Once,"Drama,Music,Romance",2007,2000,85,7.9,John Carney,Glen Hansard,Markéta Irglová,Darren Healy,9.44
2502,Once Upon a Time in America,"Crime,Drama",1984,1980,251,8.4,Sergio Leone,Robert De Niro,Burt Young,Treat Williams,5.3
2503,Once Upon a Time in Mexico,"Action,Crime,Thriller",2003,2000,102,6.4,Robert Rodriguez,Johnny Depp,Salma Hayek,Enrique Iglesias,55.85
2504,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary,Sport",2006,2000,97,7.3,Paul Crowder,Pelé,Marv Albert,Ahmet Ertegun,0.14
2505,Ondine,"Drama,Mystery,Romance",2009,2000,111,6.8,Neil Jordan,Tony Curran,Stephen Rea,Alicja Bachleda,0.55
2506,One Day,"Drama,Romance",2011,2010,107,7.0,Lone Scherfig,Anne Hathaway, Jim Sturgess, Patricia Clarkson,13.77
2507,One Direction: This Is Us,"Documentary,Music",2013,2010,106,4.1,Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,28.87
2508,One Flew Over the Cuckoo's Nest,Drama,1975,1970,133,8.7,Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,112.0
2509,One Hour Photo,"Drama,Thriller",2002,2000,96,6.8,Mark Romanek,Robin Williams,Gary Cole,Connie Nielsen,31.6
2510,One Man's Hero,"Action,Drama,History,Romance,War,Western",1999,1990,121,6.2,Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,0.23
2511,One Missed Call,"Horror,Mystery",2008,2000,87,3.9,Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,26.88
2512,One Night With the King,Drama,2006,2000,123,6.3,Michael O. Sajbel,Peter O'Toole,Tiffany Dupont,Omar Sharif,
2513,One Night at McCool's,Comedy,2001,2000,93,6.1,Harald Zwart,Liv Tyler,Matt Dillon,Paul Reiser,
2514,One Night with the King,"Biography,Drama,History",2006,2000,123,6.3,Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,13.39
2515,One True Thing,Drama,1998,1990,127,7.0,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott,23.21
2516,One for the Money,"Action,Comedy,Crime,Romance,Thriller",2012,2010,91,5.3,Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,26.4
2517,One on One,Drama,1977,1970,98,6.4,Lamont Johnson,Robby Benson,Annette O'Toole,G.D. Spradlin,
2518,One to Another,Drama,2006,2000,95,5.8,Pascal Arnold,Karl E. Landler,Lizzie Brocheré,Pierre Perrier,0.02
2519,Ong-bak 2,Action,2008,2000,110,6.2,Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,0.1
2520,Only God Forgives,"Crime,Drama",2013,2010,90,5.7,Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,0.78
2521,Only the Strong,"Action,Drama",1993,1990,99,6.7,Sheldon Lettich,Antoni Corone,Ryan Bollman,Todd Susman,3.27
2522,Opal Dream,"Drama,Family",2006,2000,86,6.6,Peter Cattaneo,Jacqueline McKenzie,Vince Colosimo,Peter Callan,0.01
2523,Open Range,"Drama,Romance,Western",2003,2000,139,7.5,Kevin Costner,Robert Duvall,Michael Jeter,Julian Richings,58.33
2524,Open Season,"Adventure,Animation,Comedy,Family",2006,2000,83,6.2,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,84.3
2525,Open Water,"Adventure,Biography,Drama,Horror,Thriller",2003,2000,79,5.7,Chris Kentis,Blanchard Ryan,Saul Stein,Daniel Travis,30.5
2526,Operation Chromite,"Action,Drama,History,War",2016,2010,115,6.8,John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,0.03
2527,Operation Dumbo Drop,Comedy,1995,1990,107,4.9,Simon Wincer,Danny Glover,Ray Liotta,Denis Leary,
2528,Orca - The Killer Whale,Drama,1977,1970,92,5.6,Michael Anderson,Richard Harris,Charlotte Rampling,Keenan Wynn,
2529,Ordinary People,Drama,1980,1980,124,7.8,Robert Redford,Adam Baldwin,Elizabeth McGovern,Judd Hirsch,54.8
2530,Orgazmo,"Comedy,Sci-Fi",1997,1990,92,6.2,Trey Parker,Trey Parker,Dian Bachar,Matt Stone,0.58
2531,Original Sin,"Drama,Mystery,Romance,Thriller",2001,2000,118,6.0,Michael Cristofer,Angelina Jolie Pitt,Gregory Itzin,Jack Thompson,16.25
2532,Orphan,"Horror,Mystery,Thriller",2009,2000,123,7.0,Jaume Collet-Serra,Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman,41.57
2533,Orwell Rolls in His Grave,Documentary,2003,2000,84,8.1,Robert Kane Pappas,Robert Kane Pappas,Danny Schechter,Charles Lewis,
2534,Osama,Drama,2003,2000,83,7.4,Siddiq Barmak,Marina Golbahari,Zubaida Sahar,Mohamad Haref Harati,1.13
2535,Oscar and Lucinda,"Drama,Romance",1997,1990,132,6.7,Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell,1.51
2536,Osmosis Jones,"Action,Adventure,Animation,Comedy,Crime,Family,Fantasy",2001,2000,95,6.2,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,13.6
2537,Ouija,"Fantasy,Horror",2014,2010,89,4.4,Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,50.82
2538,Ouija: Origin of Evil,"Horror,Thriller",2016,2010,99,6.1,Mike Flanagan,Elizabeth Reaser, Lulu Wilson, Annalise Basso,34.9
2539,Our Brand Is Crisis,"Comedy,Drama",2015,2010,107,6.1,David Gordon Green,Dominic Flores,Zoe Kazan,Scoot McNairy,7.0
2540,Our Family Wedding,"Comedy,Romance",2010,2010,103,4.9,Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,20.25
2541,Our Idiot Brother,"Comedy,Drama",2011,2010,90,6.4,Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,24.81
2542,Our Kind of Traitor,Thriller,2016,2010,108,6.4,Susanna White,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,3.11
2543,Out Cold,"Comedy,Sport",2001,2000,89,6.3,Brendan Malloy,Lee Majors,Jason London,Thomas Lennon,13.9
2544,Out of Africa,"Biography,Drama,Romance",1985,1980,161,7.2,Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen,87.1
2545,Out of Sight,"Crime,Drama,Romance,Thriller",1998,1990,123,7.0,Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,37.34
2546,Out of Time,"Crime,Drama,Romance,Thriller",2003,2000,114,6.5,Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,40.91
2547,Out of the Blue,"Crime,Drama",2006,2000,100,7.3,Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,0.0
2548,Out of the Furnace,"Crime,Drama,Thriller",2013,2010,116,6.8,Scott Cooper,Christian Bale, Casey Affleck, Zoe Saldana,11.33
2549,Outbreak,"Action,Drama,Thriller",1995,1990,127,6.6,Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,67.82
2550,Outside Providence,"Comedy,Drama,Romance",1999,1990,96,6.4,Michael Corrente,Jonathan Brandis,George Wendt,Shawn Hatosy,7.29
2551,Over Her Dead Body,"Comedy,Fantasy,Romance",2008,2000,95,5.2,Jeff Lowell,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,7.56
2552,Over the Edge,Drama,1979,1970,95,7.6,Jonathan Kaplan,Michael Eric Kramer,Pamela Ludwig,Matt Dillon,
2553,Over the Hedge,"Adventure,Animation,Comedy,Family",2006,2000,83,6.8,Tim Johnson,Bruce Willis,Steve Carell,Catherine O'Hara,155.02
2554,Over the Hill to the Poorhouse,"Crime,Drama",1920,1920-1960,110,4.8,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,3.0
2555,Owning Mahowny,"Crime,Drama,Thriller",2003,2000,104,7.2,Richard Kwietniowski,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,1.01
2556,Oz the Great and Powerful,"Adventure,Family,Fantasy",2013,2010,130,6.3,Sam Raimi,James Franco, Michelle Williams, Rachel Weisz,234.9
2557,P.S. I Love You,"Drama,Romance",2007,2000,126,7.1,Richard LaGravenese,Hilary Swank, Gerard Butler, Harry Connick Jr.,53.68
2558,PCU,Comedy,1994,1990,79,6.5,Hart Bochner,Jon Favreau,Matt Ross,Chris Young,4.35
2559,PK,"Comedy,Drama,Romance",2014,2010,153,8.2,Rajkumar Hirani,Aamir Khan, Anushka Sharma, Sanjay Dutt,10.57
2560,Paa,"Comedy,Drama",2009,2000,133,7.2,R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,0.2
2561,Pacific Rim,"Action,Adventure,Sci-Fi",2013,2010,131,7.0,Guillermo del Toro,Idris Elba, Charlie Hunnam, Rinko Kikuchi,101.79
2562,Paddington,"Animation,Comedy,Family,Fantasy",2014,2010,95,7.2,Paul King,Julie Walters,Matt Lucas,Sally Hawkins,76.14
2563,Pain & Gain,"Comedy,Crime,Drama",2013,2010,129,6.5,Michael Bay,Mark Wahlberg, Dwayne Johnson, Anthony Mackie,49.87
2564,Pale Rider,Western,1985,1980,115,7.3,Clint Eastwood,Clint Eastwood,Chris Penn,Sydney Penny,41.4
2565,Palo Alto,Drama,2013,2010,100,6.3,Gia Coppola,James Franco,Nat Wolff,Olivia Crocicchia,0.75
2566,Pan,"Adventure,Family,Fantasy",2015,2010,111,5.8,Joe Wright,Levi Miller, Hugh Jackman, Garrett Hedlund,34.96
2567,Pan's Labyrinth,"Drama,Fantasy,War",2006,2000,118,8.2,Guillermo del Toro,Ivana Baquero, Ariadna Gil, Sergi López,37.62
2568,Pandora's Box,"Crime,Drama,Romance",1929,1920-1960,110,8.0,Georg Wilhelm Pabst,Louise Brooks,Francis Lederer,Fritz Kortner,0.01
2569,Pandorum,"Action,Horror,Mystery",2009,2000,108,6.8,Christian Alvart,Dennis Quaid, Ben Foster, Cam Gigandet,10.33
